,姓名,消费金额,账户余额,订单时间,收货日期,详细地址
0,墨子,6960.39,993039,2002-03-05 07:25:49,2002-03-05,广东省广州市海珠区中大102
1,张三,4408.53,995591,1998-04-27 17:01:08,1998-04-27,广东省广州市越秀区北京路104
2,钱七,6093.22,993906,1996-11-24 19:08:42,1996-11-24,广东省广州市天河区天河街道103
3,孟子,6480.6,993519,2013-09-20 04:41:55,2013-09-20,广东省广州市番禺区南站105
4,孔子,5690.88,994309,1997-08-19 15:05:18,1997-08-19,广东省广州市黄埔区鱼珠街道101
5,朱自清,7139.31,992860,2017-03-12 19:45:41,2017-03-12,广东省广州市黄埔区鱼珠街道101
6,孔子,7851.73,992148,2011-04-17 00:26:52,2011-04-17,广东省广州市黄埔区鱼珠街道101
7,墨子,8546.0,991454,2005-04-01 04:04:51,2005-04-01,广东省广州市越秀区北京路104
8,老子,5086.07,994913,1993-10-09 10:48:48,1993-10-09,广东省广州市黄埔区鱼珠街道101
9,李四,1336.73,998663,2018-11-03 22:18:57,2018-11-03,广东省广州市黄埔区鱼珠街道101
10,钱七,8296.35,991703,1982-03-07 21:22:38,1982-03-07,广东省广州市天河区天河街道103
11,王五,812.83,999187,1995-04-09 20:43:23,1995-04-09,广东省广州市海珠区中大102
12,老子,1476.79,998523,2005-02-12 04:21:16,2005-02-12,广东省广州市天河区天河街道103
13,老子,5379.33,994620,1985-01-08 07:55:29,1985-01-08,广东省广州市天河区天河街道103
14,孔子,9081.24,990918,2001-11-03 05:56:16,2001-11-03,广东省广州市黄埔区鱼珠街道101
15,墨子,1746.73,998253,2005-03-06 19:12:38,2005-03-06,广东省广州市海珠区中大102
16,钱七,8742.89,991257,1987-05-13 11:44:55,1987-05-13,广东省广州市海珠区中大102
17,张三,9552.61,990447,1992-04-28 22:52:54,1992-04-28,广东省广州市黄埔区鱼珠街道101
18,朱自清,4298.99,995701,1981-10-27 01:09:25,1981-10-27,广东省广州市黄埔区鱼珠街道101
19,钱七,2503.79,997496,1984-08-03 19:01:20,1984-08-03,广东省广州市越秀区北京路104
20,张三,1590.3,998409,2022-09-05 19:51:54,2022-09-05,广东省广州市黄埔区鱼珠街道101
21,赵六,2815.74,997184,2005-05-11 17:59:20,2005-05-11,广东省广州市天河区天河街道103
22,朱自清,3523.79,996476,1990-06-18 10:18:15,1990-06-18,广东省广州市黄埔区鱼珠街道101
23,墨子,3233.8,996766,1998-07-29 17:30:10,1998-07-29,广东省广州市黄埔区鱼珠街道101
24,李四,8690.71,991309,2012-05-01 18:59:50,2012-05-01,广东省广州市番禺区南站105
25,老子,9933.92,990066,1986-12-01 11:23:35,1986-12-01,广东省广州市天河区天河街道103
26,鲁迅,3167.96,996832,2007-03-06 06:01:04,2007-03-06,广东省广州市番禺区南站105
27,鲁迅,7645.32,992354,1994-05-04 16:27:09,1994-05-04,广东省广州市番禺区南站105
28,王五,6864.82,993135,1985-02-16 12:04:37,1985-02-16,广东省广州市番禺区南站105
29,张三,3948.74,996051,2022-04-10 09:22:50,2022-04-10,广东省广州市番禺区南站105
30,王五,4232.93,995767,2010-01-15 03:06:09,2010-01-15,广东省广州市越秀区北京路104
31,老子,5240.06,994759,1981-01-20 21:18:06,1981-01-20,广东省广州市黄埔区鱼珠街道101
32,李四,7832.21,992167,1980-07-27 21:19:35,1980-07-27,广东省广州市越秀区北京路104
33,钱七,86.2,999913,1984-04-02 02:52:54,1984-04-02,广东省广州市海珠区中大102
34,孟子,6007.65,993992,2008-09-21 17:00:19,2008-09-21,广东省广州市海珠区中大102
35,王五,6822.84,993177,2000-06-07 09:46:24,2000-06-07,广东省广州市海珠区中大102
36,墨子,4977.65,995022,1994-01-17 00:57:48,1994-01-17,广东省广州市天河区天河街道103
37,墨子,9127.4,990872,1983-11-13 09:28:22,1983-11-13,广东省广州市天河区天河街道103
38,朱自清,2979.75,997020,2019-09-01 05:36:38,2019-09-01,广东省广州市黄埔区鱼珠街道101
39,赵六,2801.42,997198,2023-03-15 12:49:21,2023-03-15,广东省广州市黄埔区鱼珠街道101
40,孔子,8168.78,991831,2001-10-13 11:07:38,2001-10-13,广东省广州市番禺区南站105
41,李四,797.32,999202,2005-08-12 15:18:54,2005-08-12,广东省广州市番禺区南站105
42,孟子,7650.65,992349,2000-08-25 14:42:03,2000-08-25,广东省广州市黄埔区鱼珠街道101
43,钱七,2007.43,997992,2020-07-17 07:48:30,2020-07-17,广东省广州市番禺区南站105
44,孟子,2630.33,997369,1985-08-30 17:35:34,1985-08-30,广东省广州市天河区天河街道103
45,墨子,465.69,999534,1983-04-28 03:22:00,1983-04-28,广东省广州市海珠区中大102
46,鲁迅,1710.54,998289,2017-07-08 12:24:12,2017-07-08,广东省广州市天河区天河街道103
47,赵六,8280.97,991719,1998-03-31 08:07:55,1998-03-31,广东省广州市番禺区南站105
48,王五,9578.25,990421,1998-01-17 19:02:34,1998-01-17,广东省广州市海珠区中大102
49,张三,9358.98,990641,2009-12-06 13:42:41,2009-12-06,广东省广州市越秀区北京路104
50,钱七,7117.87,992882,1984-08-20 13:04:13,1984-08-20,广东省广州市越秀区北京路104
51,朱自清,8068.86,991931,1999-03-10 20:13:46,1999-03-10,广东省广州市越秀区北京路104
52,孟子,9969.73,990030,1989-11-02 16:10:40,1989-11-02,广东省广州市番禺区南站105
53,赵六,2103.51,997896,2009-09-26 02:57:19,2009-09-26,广东省广州市天河区天河街道103
54,张三,1068.89,998931,1991-06-11 04:24:35,1991-06-11,广东省广州市天河区天河街道103
55,张三,5475.07,994524,2000-08-08 08:15:44,2000-08-08,广东省广州市黄埔区鱼珠街道101
56,王五,6220.65,993779,2014-06-28 22:57:54,2014-06-28,广东省广州市越秀区北京路104
57,王五,4517.74,995482,1990-07-18 18:04:14,1990-07-18,广东省广州市海珠区中大102
58,赵六,5531.21,994468,2002-01-10 00:29:52,2002-01-10,广东省广州市越秀区北京路104
59,老子,8083.2,991916,2013-09-28 00:55:49,2013-09-28,广东省广州市越秀区北京路104
60,鲁迅,4422.16,995577,1992-08-22 18:45:05,1992-08-22,广东省广州市黄埔区鱼珠街道101
61,朱自清,1926.86,998073,2017-06-25 02:28:23,2017-06-25,广东省广州市天河区天河街道103
62,墨子,8003.28,991996,1997-08-01 01:35:00,1997-08-01,广东省广州市天河区天河街道103
63,鲁迅,6096.16,993903,1998-07-23 11:22:10,1998-07-23,广东省广州市天河区天河街道103
64,钱七,2060.95,997939,1995-11-01 16:34:03,1995-11-01,广东省广州市海珠区中大102
65,老子,9315.57,990684,1986-11-17 12:25:30,1986-11-17,广东省广州市黄埔区鱼珠街道101
66,鲁迅,6261.44,993738,2001-02-09 08:50:40,2001-02-09,广东省广州市越秀区北京路104
67,孔子,192.2,999807,1987-04-13 18:39:56,1987-04-13,广东省广州市海珠区中大102
68,李四,5543.98,994456,2019-10-18 05:35:47,2019-10-18,广东省广州市天河区天河街道103
69,赵六,5674.49,994325,1985-03-13 09:53:10,1985-03-13,广东省广州市越秀区北京路104
70,赵六,6831.89,993168,2010-02-07 11:08:35,2010-02-07,广东省广州市越秀区北京路104
71,张三,4684.46,995315,1981-02-18 12:46:06,1981-02-18,广东省广州市天河区天河街道103
72,钱七,2855.22,997144,1989-09-26 08:26:37,1989-09-26,广东省广州市黄埔区鱼珠街道101
73,赵六,6421.44,993578,2020-04-12 09:34:20,2020-04-12,广东省广州市黄埔区鱼珠街道101
74,王五,5242.38,994757,1993-04-10 02:50:22,1993-04-10,广东省广州市越秀区北京路104
75,李四,3233.43,996766,2009-06-09 05:03:15,2009-06-09,广东省广州市番禺区南站105
76,张三,4594.6,995405,1988-01-13 23:27:44,1988-01-13,广东省广州市天河区天河街道103
77,钱七,1656.67,998343,2011-07-19 05:14:02,2011-07-19,广东省广州市黄埔区鱼珠街道101
78,王五,522.76,999477,1987-08-07 02:58:11,1987-08-07,广东省广州市越秀区北京路104
79,老子,2657.18,997342,2017-09-22 19:00:36,2017-09-22,广东省广州市天河区天河街道103
80,王五,191.79,999808,1997-07-03 19:26:23,1997-07-03,广东省广州市黄埔区鱼珠街道101
81,孔子,3092.71,996907,1993-09-27 06:12:49,1993-09-27,广东省广州市越秀区北京路104
82,钱七,3409.79,996590,1990-02-03 20:07:01,1990-02-03,广东省广州市天河区天河街道103
83,朱自清,5313.06,994686,2005-08-17 20:07:53,2005-08-17,广东省广州市黄埔区鱼珠街道101
84,墨子,6222.96,993777,1988-08-16 03:01:56,1988-08-16,广东省广州市黄埔区鱼珠街道101
85,赵六,9048.03,990951,2023-04-11 12:42:58,2023-04-11,广东省广州市海珠区中大102
86,老子,9349.56,990650,2006-02-06 07:28:13,2006-02-06,广东省广州市越秀区北京路104
87,老子,685.1,999314,2019-12-02 12:29:50,2019-12-02,广东省广州市番禺区南站105
88,鲁迅,9832.47,990167,2018-04-07 07:05:03,2018-04-07,广东省广州市越秀区北京路104
89,孔子,9094.25,990905,2011-11-28 06:16:30,2011-11-28,广东省广州市黄埔区鱼珠街道101
90,老子,3055.77,996944,1999-05-10 18:09:55,1999-05-10,广东省广州市天河区天河街道103
91,钱七,5151.11,994848,1985-03-02 05:53:45,1985-03-02,广东省广州市番禺区南站105
92,孔子,7690.82,992309,2016-11-18 23:47:20,2016-11-18,广东省广州市海珠区中大102
93,孔子,4919.91,995080,2000-08-10 05:38:00,2000-08-10,广东省广州市天河区天河街道103
94,钱七,4122.95,995877,2009-03-06 22:57:59,2009-03-06,广东省广州市番禺区南站105
95,孔子,6337.75,993662,2002-03-26 05:40:32,2002-03-26,广东省广州市天河区天河街道103
96,孔子,9667.09,990332,2002-07-09 13:55:04,2002-07-09,广东省广州市天河区天河街道103
97,墨子,8825.16,991174,1983-02-05 05:17:42,1983-02-05,广东省广州市天河区天河街道103
98,朱自清,3150.41,996849,2017-01-13 06:00:49,2017-01-13,广东省广州市天河区天河街道103
99,钱七,4980.79,995019,1998-01-29 18:42:27,1998-01-29,广东省广州市番禺区南站105
100,李四,7195.5,992804,2004-08-02 20:26:16,2004-08-02,广东省广州市天河区天河街道103
101,赵六,7294.73,992705,2019-03-20 07:38:20,2019-03-20,广东省广州市海珠区中大102
102,王五,6173.92,993826,1991-05-24 15:25:02,1991-05-24,广东省广州市黄埔区鱼珠街道101
103,孟子,2316.8,997683,2009-04-04 09:48:23,2009-04-04,广东省广州市番禺区南站105
104,鲁迅,7156.09,992843,2014-06-29 22:18:07,2014-06-29,广东省广州市海珠区中大102
105,赵六,9864.88,990135,2012-06-09 11:15:54,2012-06-09,广东省广州市天河区天河街道103
106,王五,9049.44,990950,1986-05-27 22:48:40,1986-05-27,广东省广州市越秀区北京路104
107,鲁迅,8850.19,991149,1983-01-10 05:02:20,1983-01-10,广东省广州市番禺区南站105
108,孔子,9288.4,990711,1987-06-23 22:20:45,1987-06-23,广东省广州市番禺区南站105
109,孟子,5894.28,994105,1997-08-10 20:44:12,1997-08-10,广东省广州市海珠区中大102
110,朱自清,2611.84,997388,1984-11-28 15:48:21,1984-11-28,广东省广州市黄埔区鱼珠街道101
111,钱七,4209.98,995790,2013-12-15 16:18:47,2013-12-15,广东省广州市海珠区中大102
112,孟子,5328.82,994671,1979-06-17 13:22:58,1979-06-17,广东省广州市海珠区中大102
113,朱自清,7341.93,992658,2023-06-25 22:48:39,2023-06-25,广东省广州市越秀区北京路104
114,张三,2826.92,997173,2020-02-11 17:40:40,2020-02-11,广东省广州市越秀区北京路104
115,朱自清,411.45,999588,2007-09-08 10:37:52,2007-09-08,广东省广州市越秀区北京路104
116,钱七,2772.41,997227,1992-04-16 14:14:13,1992-04-16,广东省广州市海珠区中大102
117,朱自清,3484.95,996515,2015-04-15 07:21:06,2015-04-15,广东省广州市越秀区北京路104
118,墨子,4730.07,995269,2021-09-13 14:03:24,2021-09-13,广东省广州市天河区天河街道103
119,墨子,702.52,999297,2002-04-16 03:08:18,2002-04-16,广东省广州市天河区天河街道103
120,老子,3233.07,996766,1996-03-09 02:20:39,1996-03-09,广东省广州市黄埔区鱼珠街道101
121,张三,3066.82,996933,1982-09-29 22:39:14,1982-09-29,广东省广州市黄埔区鱼珠街道101
122,张三,4211.93,995788,2016-09-10 08:29:01,2016-09-10,广东省广州市天河区天河街道103
123,孟子,2325.49,997674,2002-04-17 20:35:51,2002-04-17,广东省广州市天河区天河街道103
124,李四,8715.09,991284,1997-04-04 14:29:30,1997-04-04,广东省广州市番禺区南站105
125,张三,1401.51,998598,2007-12-17 18:21:31,2007-12-17,广东省广州市番禺区南站105
126,墨子,6960.19,993039,1989-12-14 08:12:43,1989-12-14,广东省广州市海珠区中大102
127,墨子,7223.25,992776,1999-08-15 08:22:53,1999-08-15,广东省广州市天河区天河街道103
128,王五,8363.65,991636,1985-01-15 23:59:04,1985-01-15,广东省广州市番禺区南站105
129,钱七,6186.71,993813,1999-06-19 02:37:05,1999-06-19,广东省广州市番禺区南站105
130,李四,154.72,999845,2011-05-17 18:53:20,2011-05-17,广东省广州市番禺区南站105
131,王五,5448.35,994551,2002-05-23 13:04:25,2002-05-23,广东省广州市天河区天河街道103
132,赵六,8971.79,991028,1995-10-22 16:30:51,1995-10-22,广东省广州市番禺区南站105
133,王五,8193.22,991806,1990-04-28 16:42:23,1990-04-28,广东省广州市越秀区北京路104
134,朱自清,9359.55,990640,2018-07-11 21:38:25,2018-07-11,广东省广州市天河区天河街道103
135,王五,3604.1,996395,1997-04-27 05:09:44,1997-04-27,广东省广州市天河区天河街道103
136,李四,6437.37,993562,1999-01-08 21:14:37,1999-01-08,广东省广州市越秀区北京路104
137,赵六,243.79,999756,2008-12-16 04:04:08,2008-12-16,广东省广州市海珠区中大102
138,赵六,316.44,999683,2009-07-11 10:49:03,2009-07-11,广东省广州市番禺区南站105
139,钱七,766.3,999233,2000-03-20 23:30:56,2000-03-20,广东省广州市番禺区南站105
140,墨子,2105.0,997895,2010-03-15 00:06:53,2010-03-15,广东省广州市黄埔区鱼珠街道101
141,孟子,2647.4,997352,2004-10-03 23:35:05,2004-10-03,广东省广州市天河区天河街道103
142,朱自清,7253.7,992746,2021-08-07 19:43:25,2021-08-07,广东省广州市越秀区北京路104
143,张三,4335.22,995664,2012-03-13 00:13:38,2012-03-13,广东省广州市天河区天河街道103
144,钱七,6158.57,993841,1980-11-01 07:27:12,1980-11-01,广东省广州市海珠区中大102
145,赵六,9372.93,990627,1986-06-23 04:29:38,1986-06-23,广东省广州市黄埔区鱼珠街道101
146,张三,2136.94,997863,2008-12-19 15:32:48,2008-12-19,广东省广州市天河区天河街道103
147,鲁迅,8646.85,991353,2022-11-19 17:42:57,2022-11-19,广东省广州市番禺区南站105
148,孟子,5582.78,994417,1984-03-20 05:40:50,1984-03-20,广东省广州市天河区天河街道103
149,孔子,9393.16,990606,2010-06-30 19:11:41,2010-06-30,广东省广州市天河区天河街道103
150,钱七,4725.93,995274,2006-01-17 04:26:05,2006-01-17,广东省广州市天河区天河街道103
151,孟子,4002.35,995997,2012-03-31 15:53:33,2012-03-31,广东省广州市天河区天河街道103
152,张三,9795.42,990204,2015-11-29 17:32:13,2015-11-29,广东省广州市越秀区北京路104
153,赵六,4889.74,995110,1980-08-01 00:16:05,1980-08-01,广东省广州市番禺区南站105
154,孟子,7131.67,992868,1989-09-07 10:27:30,1989-09-07,广东省广州市海珠区中大102
155,鲁迅,1399.55,998600,2007-12-06 18:01:01,2007-12-06,广东省广州市天河区天河街道103
156,朱自清,6445.83,993554,2011-09-08 01:15:36,2011-09-08,广东省广州市越秀区北京路104
157,钱七,1966.36,998033,1988-12-15 20:50:33,1988-12-15,广东省广州市番禺区南站105
158,老子,5375.24,994624,1997-01-29 17:54:02,1997-01-29,广东省广州市越秀区北京路104
159,墨子,143.39,999856,2001-11-10 03:44:52,2001-11-10,广东省广州市越秀区北京路104
160,赵六,8573.46,991426,2018-04-25 16:42:58,2018-04-25,广东省广州市番禺区南站105
161,墨子,4650.92,995349,1995-12-01 20:36:06,1995-12-01,广东省广州市越秀区北京路104
162,老子,1207.76,998792,1995-04-12 22:50:44,1995-04-12,广东省广州市越秀区北京路104
163,朱自清,7.77,999992,1980-05-06 06:17:09,1980-05-06,广东省广州市番禺区南站105
164,墨子,8972.08,991027,2018-01-30 03:24:27,2018-01-30,广东省广州市越秀区北京路104
165,张三,5238.31,994761,1981-08-03 21:04:19,1981-08-03,广东省广州市番禺区南站105
166,李四,2053.32,997946,1985-05-21 15:42:53,1985-05-21,广东省广州市黄埔区鱼珠街道101
167,钱七,447.03,999552,1990-04-10 15:13:20,1990-04-10,广东省广州市海珠区中大102
168,王五,5866.69,994133,1979-05-25 17:30:56,1979-05-25,广东省广州市番禺区南站105
169,孟子,4916.77,995083,2015-09-12 18:00:18,2015-09-12,广东省广州市黄埔区鱼珠街道101
170,鲁迅,25.96,999974,1995-06-15 23:51:44,1995-06-15,广东省广州市天河区天河街道103
171,老子,589.98,999410,2019-03-28 08:02:46,2019-03-28,广东省广州市海珠区中大102
172,李四,138.78,999861,2020-04-14 03:52:42,2020-04-14,广东省广州市番禺区南站105
173,李四,7414.67,992585,2003-02-01 15:33:39,2003-02-01,广东省广州市番禺区南站105
174,张三,3487.73,996512,2015-07-15 04:19:03,2015-07-15,广东省广州市天河区天河街道103
175,李四,7804.76,992195,2004-04-20 16:31:20,2004-04-20,广东省广州市海珠区中大102
176,老子,2211.12,997788,1996-01-01 23:58:57,1996-01-01,广东省广州市越秀区北京路104
177,张三,1039.83,998960,1995-11-19 07:12:50,1995-11-19,广东省广州市海珠区中大102
178,孔子,5459.22,994540,1982-09-13 05:09:54,1982-09-13,广东省广州市天河区天河街道103
179,张三,4914.59,995085,2005-12-14 06:32:10,2005-12-14,广东省广州市黄埔区鱼珠街道101
180,钱七,7360.4,992639,1982-08-31 04:16:59,1982-08-31,广东省广州市天河区天河街道103
181,孔子,6948.56,993051,1980-06-13 14:24:01,1980-06-13,广东省广州市海珠区中大102
182,王五,9795.38,990204,1991-02-19 04:07:48,1991-02-19,广东省广州市天河区天河街道103
183,朱自清,6833.84,993166,2001-06-29 13:41:28,2001-06-29,广东省广州市天河区天河街道103
184,王五,6874.96,993125,2000-10-05 02:02:42,2000-10-05,广东省广州市番禺区南站105
185,王五,4066.12,995933,2003-01-20 21:49:10,2003-01-20,广东省广州市黄埔区鱼珠街道101
186,孟子,2375.99,997624,1986-11-22 12:05:31,1986-11-22,广东省广州市黄埔区鱼珠街道101
187,朱自清,6701.28,993298,2002-09-20 22:00:37,2002-09-20,广东省广州市黄埔区鱼珠街道101
188,王五,9007.97,990992,2018-12-21 05:42:46,2018-12-21,广东省广州市黄埔区鱼珠街道101
189,赵六,857.62,999142,1990-03-24 05:35:50,1990-03-24,广东省广州市越秀区北京路104
190,钱七,6592.06,993407,1979-03-09 11:00:12,1979-03-09,广东省广州市海珠区中大102
191,钱七,3806.54,996193,2016-03-11 16:30:19,2016-03-11,广东省广州市天河区天河街道103
192,王五,1319.92,998680,1996-02-04 13:32:33,1996-02-04,广东省广州市越秀区北京路104
193,墨子,5840.57,994159,1989-05-05 12:24:08,1989-05-05,广东省广州市番禺区南站105
194,墨子,1279.43,998720,2009-12-17 19:53:46,2009-12-17,广东省广州市天河区天河街道103
195,朱自清,8071.09,991928,1981-07-27 20:24:41,1981-07-27,广东省广州市越秀区北京路104
196,李四,4444.36,995555,2007-08-08 10:40:04,2007-08-08,广东省广州市黄埔区鱼珠街道101
197,墨子,1471.93,998528,2021-05-04 15:49:46,2021-05-04,广东省广州市海珠区中大102
198,李四,7944.79,992055,2001-09-10 09:11:03,2001-09-10,广东省广州市天河区天河街道103
199,朱自清,7757.42,992242,2002-08-11 13:29:38,2002-08-11,广东省广州市越秀区北京路104
200,朱自清,3285.77,996714,1983-02-12 01:36:51,1983-02-12,广东省广州市天河区天河街道103
201,王五,7275.34,992724,1998-04-11 14:26:32,1998-04-11,广东省广州市天河区天河街道103
202,墨子,8342.34,991657,2007-05-25 16:39:20,2007-05-25,广东省广州市海珠区中大102
203,赵六,8158.8,991841,2005-02-25 02:38:36,2005-02-25,广东省广州市番禺区南站105
204,墨子,5861.88,994138,2012-10-15 10:49:57,2012-10-15,广东省广州市天河区天河街道103
205,孔子,6808.31,993191,2014-06-14 20:22:39,2014-06-14,广东省广州市番禺区南站105
206,王五,1168.05,998831,1983-11-29 08:16:03,1983-11-29,广东省广州市番禺区南站105
207,张三,6650.84,993349,1987-01-11 03:45:59,1987-01-11,广东省广州市越秀区北京路104
208,钱七,8749.73,991250,2006-07-11 23:14:48,2006-07-11,广东省广州市天河区天河街道103
209,老子,3148.62,996851,2007-06-18 21:13:00,2007-06-18,广东省广州市海珠区中大102
210,李四,3729.82,996270,2007-01-09 21:38:40,2007-01-09,广东省广州市天河区天河街道103
211,孟子,2040.16,997959,2008-02-27 05:36:37,2008-02-27,广东省广州市天河区天河街道103
212,朱自清,5481.14,994518,2001-06-14 03:00:58,2001-06-14,广东省广州市番禺区南站105
213,朱自清,952.27,999047,2001-10-08 17:59:15,2001-10-08,广东省广州市越秀区北京路104
214,李四,6337.69,993662,2016-05-06 21:51:59,2016-05-06,广东省广州市黄埔区鱼珠街道101
215,朱自清,7128.51,992871,2010-06-21 09:10:32,2010-06-21,广东省广州市海珠区中大102
216,孔子,1372.78,998627,2023-01-31 03:14:34,2023-01-31,广东省广州市黄埔区鱼珠街道101
217,墨子,8330.74,991669,1996-12-18 10:36:57,1996-12-18,广东省广州市番禺区南站105
218,钱七,2407.32,997592,1998-04-27 14:34:54,1998-04-27,广东省广州市海珠区中大102
219,朱自清,6171.0,993829,1994-10-25 21:19:36,1994-10-25,广东省广州市番禺区南站105
220,张三,7759.44,992240,1993-07-14 20:10:13,1993-07-14,广东省广州市越秀区北京路104
221,墨子,4392.98,995607,2013-05-21 16:29:19,2013-05-21,广东省广州市番禺区南站105
222,鲁迅,5673.72,994326,1982-04-21 12:47:12,1982-04-21,广东省广州市天河区天河街道103
223,孔子,4332.42,995667,1987-11-09 10:50:37,1987-11-09,广东省广州市番禺区南站105
224,墨子,5902.8,994097,2007-03-02 05:12:30,2007-03-02,广东省广州市天河区天河街道103
225,朱自清,6787.87,993212,2016-07-24 06:26:37,2016-07-24,广东省广州市海珠区中大102
226,李四,4139.62,995860,1991-05-25 03:07:25,1991-05-25,广东省广州市番禺区南站105
227,朱自清,7948.07,992051,1997-06-02 22:53:59,1997-06-02,广东省广州市海珠区中大102
228,张三,3139.03,996860,2009-07-23 15:37:11,2009-07-23,广东省广州市海珠区中大102
229,孟子,1365.26,998634,2009-01-13 22:39:10,2009-01-13,广东省广州市番禺区南站105
230,孔子,3117.0,996883,1985-10-27 20:11:34,1985-10-27,广东省广州市越秀区北京路104
231,孔子,5657.22,994342,2011-01-14 23:26:30,2011-01-14,广东省广州市番禺区南站105
232,墨子,7808.32,992191,1999-01-13 15:08:05,1999-01-13,广东省广州市黄埔区鱼珠街道101
233,墨子,303.73,999696,2008-12-26 09:53:26,2008-12-26,广东省广州市番禺区南站105
234,张三,5819.9,994180,1992-05-13 04:40:00,1992-05-13,广东省广州市海珠区中大102
235,王五,1805.69,998194,1998-10-30 13:15:08,1998-10-30,广东省广州市越秀区北京路104
236,张三,2039.47,997960,1994-12-16 14:45:50,1994-12-16,广东省广州市天河区天河街道103
237,李四,7227.12,992772,2001-11-28 15:56:29,2001-11-28,广东省广州市海珠区中大102
238,钱七,8730.43,991269,1992-10-08 00:19:39,1992-10-08,广东省广州市海珠区中大102
239,老子,8871.75,991128,2010-08-02 06:54:26,2010-08-02,广东省广州市黄埔区鱼珠街道101
